NombreIniciativa,CantidadOrganizaciones,LineaFinanciamiento,ParticipacionCiudadana,TransparenciaRendicionCuentas,PeriodismoDatos,MapeoCiudadano,MonitoreoServiciosPublicos,UsoDatosAbiertos,OtraTematica,OrgNombreOrganizacion,OrgTipoOrganizacion,OrgPais,OrgCiudad,OrgWeb,OrgPrincipalAlinza,OrgDesarrolloPlataformasAplicativosTecnologicos,OrgVariosPaises,OrgSpinOffIncubacion,OrgParticipacionCiudadana,OrgTransparenciaRendicionCuentas,OrgParlamentoAbierto,OrgComprasPublicas,OrgPeriodismoDatos,OrgMapeoCiudadano,OrgMonitoreoServiciosPublicos,OrgOtraTematica,EscalamientoPlataformaExistente,AdaptacionPlataformaExistente,DesarrolloPlataformaNueva,Otros
Rio Doce Ativo,4,Desarrollo de nuevas iniciativas,1,1,1,1,0,0,,Troca: gestão social para a sustentabilidade,Empresa privada (no incluye startup),Brasil,Belo Horizonte,https://www.linkedin.com/in/francisca-schaich-prates-56b6243b/,No,No,No,No,0,0,0,0,0,0,0,"A Troca nasceu em 2017, mas Francisca já trabalhou em projetos de desesenvolvimento voltados para o desenvolvimento de uma plataforma de participação cidadã.",0,0,1,
Rio Doce Ativo,4,Desarrollo de nuevas iniciativas,1,1,1,1,0,0,,Nachhaltigkeit Educação Ltda,Empresa privada (no incluye startup),Brasil,Belo Horizonte,Nachhaltigkeit Educação Ltda,No,No,No,No,0,1,0,0,0,0,0,,0,0,1,
Visualizacion de los Resultados del Semáforo de Eliminación de Pobreza,1,Desarrollo de nuevas iniciativas,1,0,1,1,1,1,,Fundación Paraguaya,Organización civil sin fines de lucro,Paraguay,Asunción,http://www.fundacionparaguaya.org.py/?lang=es,Sí,Sí,Si,No,1,0,0,0,1,1,1,,0,1,0,
Fact-check para projetos de lei e políticas públicas informados por evidências,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,0,,Instituto Veredas,Organización civil sin fines de lucro,Brasil,São Paulo,,Sí,Sí,No,No,1,1,1,0,0,0,1,,0,0,1,
Sistema de Avaliação dos Portais de Transparência dos Governos Municipais,1,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Observatório Social de São José (OSSJ),Organización civil sin fines de lucro,Brasil,São José - Santa Catarina,www.ossj.org.br,Sí,No,No,No,1,1,0,0,0,0,0,,0,0,1,
Rutas de atención y participación ciudadana,1,Desarrollo de nuevas iniciativas,1,0,0,1,1,0,Mecanismos de participación y defensa de los ciudadanos,Fundación Gestores Sociales,Organización civil sin fines de lucro,Colombia,Bogota,www.fungestores.org,Sí,Sí,No,No,0,0,0,0,0,0,0,"Educativos, conservación y promoción de patrimonio cultural",0,0,1,
Mi compromiso con Bogotá,1,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,"Veeduría Distrital de Bogotá, Veeduría Delegada para la Participación y los Programas Especiales",Ente gubernamental,Colombia,Bogotá D.C.,http://www.veeduriadistrital.gov.co/,Sí,No,No,No,1,1,0,0,0,1,1,,0,0,1,
Desarrollo de sistema para la acreditación del derecho a la identidad (ASEMUSA). ,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,,Asociación Ecológica de los Municipios de Santa Ana (ASEMUSA),Otro,El Salvador,Texistepeque- Departamento de Santa Ana,-,Sí,No,No,No,0,0,0,0,0,1,1,,0,0,1,
Desarrollo de sistema para la acreditación del derecho a la identidad (ASEMUSA). ,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,,Instituto Salvadoreño de Desarrollo Municipal (ISDEM),Otro,El Salvador,"San Salvador: Oficinas Centrales, Regiones Central, Paracentral; Centro de Formación Municipal (CFM) y Registro Nacional de la Carrera Administrativa Municipal (RNCAM).  Santa Ana: Oficina Regional Occidente   San Miguel: Oficina Regional Oriente",http://www.isdem.gob.sv,No,Sí,No,No,0,1,0,1,0,1,1,,0,0,1,
Celula de Capacitação Tecnológica para Meninas e Adolescentes - CeCaTec,2,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,Educação; Profissionalização tecnologica; inclusão digital feminina,Lar de Maria Dolores,Organización civil sin fines de lucro,Brasil,Rio de Janeiro,http://www.lardemariadolores.org.br/,Sí,No,No,No,1,0,0,0,0,0,0,"Educação, assistencia social, profissionalização ",0,0,1,
Celula de Capacitação Tecnológica para Meninas e Adolescentes - CeCaTec,2,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,,Promec Projetos e Modelagens em Engenharia e Computação LTDA,Empresa privada (startup),Brasil,Rio de Janeiro ,http://www.promecgroup.com/,No,Sí,No,Si,0,0,0,0,1,0,0,Aplicações em engenharia ,0,0,1,
Trainee de Gesta~o Pu´blica,1,Iniciativas ya existentes,1,0,0,0,0,0,,Vetor Brasil,Organización civil sin fines de lucro,Brasil,São Paulo,www.vetorbrasil.org,Sí,Sí,No,No,1,0,0,0,0,0,0,,0,1,0,
¿Es la cárcel la solución? Abrir el debate ciudadano sobre el sistema penal boliviano,1,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,Fundación CONSTRUIR,Organización civil sin fines de lucro,Bolivia,La Paz,www.fundacionconstruir.org,Sí,Sí,No,No,1,1,0,0,1,1,0,,0,0,1,
Innovación y Apertura en las Políticas Públicas (InnovApp),1,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,Democracia & Desarrollo Internacional (D&D Internacional),Organización civil sin fines de lucro,Perú,Lima,www.democraciadigital.pe,Sí,No,No,No,1,1,0,0,0,1,0,Se organizó la Primera Hackatón Electoral en el Perú que permitió la construcción del Portal de Datos Abiertos del Jurado Nacional de Elecciones (JNE) en el proceso general electoral 2016 en el país. ,0,0,1,
¿Los conoces? Mapeando el poder,2,Desarrollo de nuevas iniciativas,1,1,1,1,0,1,"lucha anticorrupción, activismo ciudadano","Asociación Civil Japiqay, Memoria y Ciudadana",Organización civil sin fines de lucro,Perú,Lima,www.japiqay.org (En desarrollo),Sí,No,No,No,0,1,1,0,1,0,0,lucha anticorrupción,1,0,1,
¿Los conoces? Mapeando el poder,2,Desarrollo de nuevas iniciativas,1,1,1,1,0,1,,The Engine Room,Organización civil sin fines de lucro,Otro,Nueva York,www.theengineroom.org,No,Sí,Si,No,1,1,1,1,0,0,0,"Apoyos técnicos y estratégicos a organizaciones locales, sin fines de lucro",1,0,1,
comoayudo.org,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,"voluntariado, causas sociales y ambientales ",Comunicación Corporativa de Centroamérica,Empresa privada (no incluye startup),Costa Rica,San José,www.cckcentroamerica.com,No,No,Si,No,0,0,0,0,0,0,0,Desarrollo de plataforma para donación de árboles para la Universidad EARTH.,0,0,1,
Tecnología cívica para una sociedad conectada y participativa.,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,Fundación Corona,Organización civil sin fines de lucro,Colombia,Bogotá,www.fundacioncorona.org,Sí,Sí,No,No,1,1,1,0,1,1,0,,0,0,1,
Tecnología cívica para una sociedad conectada y participativa.,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,C230,Empresa privada (no incluye startup),México,DF,www.c-230.com,No,No,Si,No,0,0,0,0,0,0,1,,0,0,1,
Tecnología cívica para una sociedad conectada y participativa.,3,Desarrollo de nuevas iniciativas,1,1,0,1,0,0,,Movilizatorio,Empresa privada (startup),Colombia,Bogotá,www.movilizatorio.org,No,Sí,Si,Si,1,1,0,0,0,1,0,,0,0,1,
ENMOBI,1,Desarrollo de nuevas iniciativas,1,0,1,1,0,1,,COMUNIDEAS SAS,Empresa privada (no incluye startup),Colombia,Medellin,http://comunideas.com/colombia/,Sí,Sí,Si,No,1,0,0,0,0,1,0,,0,0,1,
Proposta Metodológica para a Interpretação Automatizada Geoespacial da Questão do Urbano e Rural no Brasil,1,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,FGX,Empresa privada (startup),Brasil,Florianópolis,,Sí,Sí,No,No,0,0,0,0,1,1,1,,0,1,1,
Río abierto,1,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,la diaria,Empresa privada (no incluye startup),Uruguay,Montevideo,ladiaria.uy,Sí,No,No,No,1,0,0,0,0,1,0,,0,0,1,
Plataforma Carazo Sostenible,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,"Propuestas de solución y emprendimiento multisectorial ante problemáticas de carácter social, ambiental y económico.",Fundación Nicaragüense para la Defensa del Medio Ambiente y Protección de los Recursos Naturales (FUNDENATURA),Organización civil sin fines de lucro,Nicaragua,Diriamba,NA,Sí,No,No,No,0,0,0,0,0,0,0,Mecanismos de alianza y diálogo público privado,0,0,1,
Plataforma Carazo Sostenible,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,,Core Systems,Empresa privada (no incluye startup),Nicaragua,Managua,http://coresystems.io,No,Sí,No,No,0,0,0,0,0,1,0,"Servicios financieros, ventas de productos, eventos, logística, y monitoreo. ",0,0,1,
Plataforma Digital de Empoderamento de Favelas pela Informação e Auto-Organização,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,,INSTITUTO ATLÂNTICO,Organización civil sin fines de lucro,Brasil,RIO DE JANEIRO,WWW.ATLANTICO.ORG.BR,Sí,No,No,No,0,0,0,0,0,0,0,Ferramenta de voto popular via web,0,0,1,
Plataforma Digital de Empoderamento de Favelas pela Informação e Auto-Organização,2,Desarrollo de nuevas iniciativas,1,0,0,1,1,1,,Mega Cities,Organización civil sin fines de lucro,Otro,Nova Iorque,http://mega-cities.net/,No,Sí,Si,No,0,0,0,0,0,0,0,Desenvolvimento de website somente,0,0,1,
Muove Brasil,2,Iniciativas de tecnología con fines de lucro,0,1,1,0,1,1,Capacitação de gestores públicos; Apoio a tomada de decisão no nível municipal,Muove Brasil,Empresa privada (startup),Brasil,São Paulo,www.muovebrasil.com,Sí,Sí,No,No,0,1,0,0,1,0,1,,1,1,0,
Muove Brasil,2,Iniciativas de tecnología con fines de lucro,0,1,1,0,1,1,,Centro de Liderança Pública,Organización civil sin fines de lucro,Brasil,São Paulo,www.clp.org.br,No,No,No,No,0,0,0,0,1,0,0,Capacitação de Líderes Públicos,1,1,0,
MigraNet-respaldo,2,Desarrollo de nuevas iniciativas,1,1,1,0,0,0,,Central del Movimiento de Trabajadores Costarricenses -CMTC-,Organización civil sin fines de lucro,Costa Rica,San Jose,,Sí,No,Si,No,1,1,0,0,0,0,0,,0,0,1,
MigraNet-respaldo,2,Desarrollo de nuevas iniciativas,1,1,1,0,0,0,,Instituto de Estudios del Trabajo -INET-,Organización civil sin fines de lucro,Guatemala,Guatemala,portalinet.org,No,No,Si,No,0,1,0,0,0,0,0,,0,0,1,
"Creación de Chileleaks, CentroAméricaLeaks y  LatamLeaks, coordinadora regional de las plataformas de whistleblowing.",4,Iniciativas ya existentes,1,1,1,0,1,0,,Fundación Ciudadano Inteligente,Organización civil sin fines de lucro,Chile,Santiago,www.ciudadanointeligente.org,Sí,Sí,Si,No,1,1,1,0,0,0,1,,1,0,0,
"Creación de Chileleaks, CentroAméricaLeaks y  LatamLeaks, coordinadora regional de las plataformas de whistleblowing.",4,Iniciativas ya existentes,1,1,1,0,1,0,,"Project on Organizing, Development, Education, and Research (PODER)",Organización civil sin fines de lucro,México,Ciudad de México,projectpoder.org,No,Sí,No,No,0,1,0,1,1,0,1,,1,0,0,
"Creación de Chileleaks, CentroAméricaLeaks y  LatamLeaks, coordinadora regional de las plataformas de whistleblowing.",4,Iniciativas ya existentes,1,1,1,0,1,0,,Plaza Pública ,Universidad,Guatemala,Guatemala Ciudad,www.plazapublica.com.gt ,No,Sí,No,No,0,1,1,0,1,0,0,,1,0,0,
"Creación de Chileleaks, CentroAméricaLeaks y  LatamLeaks, coordinadora regional de las plataformas de whistleblowing.",4,Iniciativas ya existentes,1,1,1,0,1,0,,Associated Whistleblowing Press,Organización civil sin fines de lucro,Otro,Bruselas,HTTPS://AWP.IS,No,Sí,Si,No,1,1,0,0,1,0,0,,1,0,0,
Agencia Informativa Ciudadana,1,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,Beetec Inteligencia Colectiva,Organización civil sin fines de lucro,Chile,Santiago,http://www.kibernum.com/noticias/tag/beetec/,Sí,Sí,No,No,1,1,1,1,1,1,1,,0,1,0,
Observatorio del Sector Social de la Economía,1,Iniciativas ya existentes,1,1,0,0,0,1,"Visibilización del sector, evaluación y diseño de políticas públicas con participación ciudadana.",Instituto Nacional de la Economía Social,Ente gubernamental,México,México,osse.org.mx,Sí,No,No,No,1,1,0,0,0,1,0,"Visibilización del sector, evaluación y diseño de políticas públicas en participación.",1,0,0,
uSocial Maps,1,Iniciativas ya existentes,1,1,0,1,0,1,"Corrupción, desarrollo urbano, gobierno abierto, indicadores urbanos de calidad de vida, generación y análisis de datos urbanos",uSocial Maps,Empresa privada (startup),México,Monterrey,www.usocialmaps.com,Sí,Sí,Si,No,1,0,0,0,0,1,0,,1,0,1,
Análisis de Portales de Datos Abiertos Gubernamentales (segunda carga con la Metodología. En la anterior aplicación no la llegamos a cargar),4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Fundación Conocimiento Abierto ,Organización civil sin fines de lucro,Argentina,Buenos Aires ,www.fcabierto.org,Sí,Sí,No,No,1,1,0,0,1,1,1,,0,0,1,
Análisis de Portales de Datos Abiertos Gubernamentales (segunda carga con la Metodología. En la anterior aplicación no la llegamos a cargar),4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Cainfo,Organización civil sin fines de lucro,Uruguay,Montevideo,http://www.cainfo.org.uy/que-es-cainfo/,No,Sí,No,No,0,1,0,0,0,0,0,,0,0,1,
Análisis de Portales de Datos Abiertos Gubernamentales (segunda carga con la Metodología. En la anterior aplicación no la llegamos a cargar),4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Dirección de Gobierno Abierto y Datos Abiertos ,Ente gubernamental,Argentina,Córdoba,https://gobiernoabierto.cordoba.gob.ar/,No,Sí,No,No,1,1,0,0,0,1,0,,0,0,1,
Análisis de Portales de Datos Abiertos Gubernamentales (segunda carga con la Metodología. En la anterior aplicación no la llegamos a cargar),4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Dirección de Gobierno Abierto y Datos Abiertos,Ente gubernamental,Argentina,Buenos Aires,http://datos.gba.gob.ar/,No,No,No,No,1,1,0,0,0,1,0,,0,0,1,
La Caza Legislativa,1,Iniciativas ya existentes,1,1,1,1,1,1,,Periódico El Faro,Empresa privada (no incluye startup),El Salvador,San Salvador,elfaro.net,Sí,No,Si,No,1,1,1,0,1,0,0,,1,0,0,
PLATAFORMA CIDADÃ,3,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,ACECCI - Associação Cearense de Combate à Corrupção e à Impunidade,Organización civil sin fines de lucro,Brasil,Fortaleza,www.acaocearense.org,Sí,No,No,No,1,0,0,0,0,0,1,,0,0,1,
PLATAFORMA CIDADÃ,3,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,INSTITUTO BANCO DA PERIFERIA - PALMAS LAB,Organización civil sin fines de lucro,Brasil,FORTALEZA-CE,www.bancodaperiferia.org.br,No,Sí,No,No,1,0,0,0,1,1,0,,0,0,1,
PLATAFORMA CIDADÃ,3,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,FUNDAÇÃO EDUCATIVA E CULTURAL - ARCA,Organización civil sin fines de lucro,Brasil,ALTANEIRA-CE,www.fundacaoarca.org.br,No,No,No,No,1,0,0,0,1,1,1,,0,0,1,
Economía del Bien Común,1,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,Desarrollo de una economia con rostro humano y que se centre en el bien común,Asociación Nacional para el Fomento de la Economia del Bien Común en Chile,Organización civil sin fines de lucro,Chile,Santiago,http://www.economiadelbiencomun.cl,Sí,No,Si,No,0,0,0,0,0,0,0,"Se ha desarrollado la metodología de la Matriz del Bien Común y el Balance del Bien Común, pilares de la propuesta de la Economía del Bien Común. Consideramos la Matriz y Balance como la ""Plataforma"" en términos de método y que incorpora, aspectos de participación ciudadana, transparencia y rendición de cuentas y otras áreas orientadas a medir la contribución al bien común de las empresas y la sociedad.",0,0,1,
Contratados.org,2,Iniciativas ya existentes,1,1,0,1,0,1,,"Centro de los Derechos del Migrante, Inc.",Organización civil sin fines de lucro,México,"Ciudad de México; Juxtlahuaca, Oaxaca; y Baltimore, Maryland",www.cdmigrante.org,Sí,No,Si,No,1,1,0,0,0,1,0,,1,0,0,
Contratados.org,2,Iniciativas ya existentes,1,1,0,1,0,1,,Cívica Digital,Empresa privada (no incluye startup),México,Ciudad de México,https://civica.digital,No,Sí,No,Si,1,1,0,0,0,0,0,,1,0,0,
Sinais Vitais,2,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,ICOM - Instituto Comunitário Grande Florianópolis,Organización civil sin fines de lucro,Brasil,Florianópolis,www.icomfloripa.org.br,Sí,No,No,No,1,1,0,0,0,0,0,,0,0,1,
Sinais Vitais,2,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,Tekis Tecnologia Avançadas Ltda.,Empresa privada (startup),Brasil,Florianópolis,www.tekis.com.br,No,Sí,No,Si,0,0,0,0,0,1,1,,0,0,1,
Plataforma Pro Municipio,2,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,CCiudadano. Construcción y Articulación de lo Público/Centro de Investigaciones y Estudios en Antropología Social (CIESAS),Otro,México,Ciudad de México,cciudadano.org.mx,Sí,No,No,No,0,1,0,0,0,0,0,"Monitoreo de la gestión municipal, Cabildo abierto y aplicación de fondos públicos",1,0,0,
Plataforma Pro Municipio,2,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Socialtic A.C.,Organización civil sin fines de lucro,México,Ciudad de México,www.socialtic.org,No,No,Si,No,1,1,1,1,1,1,1,,1,0,0,
Economía local y megamineria,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,Desarrollo económico local,Fundación Juventud Emprendedora,Organización civil sin fines de lucro,Chile,Iquique,www.fjechile.org y www.empresascolaborativas.cl,Sí,No,No,No,0,0,0,0,0,0,0,Desarrollo de clústers de pequeños productores para ser proveedores de cadenas de valor mayores.,0,0,1,
Rede de colaboração de plantio urbano de produtos orgânicos,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,,NAU Interativa,Empresa privada (startup),Brasil,SAO PAULO,https://www.facebook.com/nauinterativa,Sí,Sí,No,No,0,0,0,0,0,0,0,Plantio de hortas urbanas em espaços públicos e privados,0,0,1,
Somos Dos,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,0,,Ecosocial Consultores S.A.S,Empresa privada (no incluye startup),Colombia,Bogotá,www.ecosocialconsultores.com,Sí,No,No,No,1,0,0,0,0,0,0,,0,0,1,
" Herramienta para diseño, gestión y diagnóstico de estrategia para Gobiernos Locales Abiertos ",4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Fundación Conocimiento Abierto,Organización civil sin fines de lucro,Argentina,Buenos Aires,www.fcabierto.org ,Sí,Sí,No,Si,1,1,0,1,1,1,0,,0,0,1,
" Herramienta para diseño, gestión y diagnóstico de estrategia para Gobiernos Locales Abiertos ",4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Codeando México,Organización civil sin fines de lucro,México,Ciudad de México ,https://codeandomexico.org/,No,Sí,No,No,1,1,0,0,0,1,1,"datos abiertos, hacking cívico ",0,0,1,
" Herramienta para diseño, gestión y diagnóstico de estrategia para Gobiernos Locales Abiertos ",4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Dirección de Gobierno Abierto y Datos Abiertos,Ente gubernamental,Argentina,Córdoba,https://gobiernoabierto.cordoba.gob.ar/,No,Sí,No,No,1,1,0,0,0,1,0,,0,0,1,
" Herramienta para diseño, gestión y diagnóstico de estrategia para Gobiernos Locales Abiertos ",4,Desarrollo de nuevas iniciativas,1,1,0,0,0,1,,Dirección de Gobierno Abierto y Datos Abiertos de la Provincia de Buenos Aires,Ente gubernamental,Argentina,Buenos Aires ,http://datos.gba.gob.ar/,No,Sí,No,No,1,1,0,0,0,1,0,,0,0,1,
APPacheta: desarrollo de un turismo colaborativo que apoye a la mejora de los servicios turísticos basado en recomendaciones y experiencias ciudadanas ,1,Desarrollo de nuevas iniciativas,1,0,0,1,0,0,,Brújula Turística ,Empresa privada (startup),Bolivia,La Paz,www.brujulaturistica.com,No,Sí,No,Si,1,0,0,0,0,1,0,,0,0,1,
Laboratório de Governo Aberto: uma plataforma de indicadores e engajamento social,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Instituto Casa da Cidade,Organización civil sin fines de lucro,Brasil,São Paulo,http://www.casadacidade.org.br/,Sí,No,No,No,1,1,0,0,0,1,1,,0,0,1,
AgroMas ,1,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,,"Corporación Integral de Innovación Social ""INNOVAR""",Organización civil sin fines de lucro,Colombia,Cúcuta,http://www.corpoinnovar.com,Sí,Sí,No,No,1,1,0,1,0,1,0,,0,0,1,
Belisar.io,4,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,Invernaideas,Empresa privada (startup),México,Ciudad de México,invernaideas.mx,Sí,Sí,No,No,1,1,0,0,0,1,0,,0,0,1,
Belisar.io,4,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,Hormiga Investigación,Empresa privada (no incluye startup),México,Ciudad de México,http://www.hormiga-investigacion.com/  ,No,No,Si,Si,1,1,0,0,0,1,0,,0,0,1,
Belisar.io,4,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,Rokode Digital,Empresa privada (startup),México,Ciudad de México ,http://www.rokode.com/,No,Sí,Si,No,1,1,1,0,0,0,0,,0,0,1,
Belisar.io,4,Iniciativas de tecnología con fines de lucro,1,1,0,0,0,0,,WAR Contenidos  ,Empresa privada (no incluye startup),México,Ciudad de México,http://warcontenidos.com/,No,No,No,No,0,0,0,0,1,1,1,Desarrollo de contenidos para todo tipo de plataformas audiovisuales,0,0,1,
Rede Cordial,1,Iniciativas de tecnología con fines de lucro,1,0,0,1,0,1,,Instituto Cordial,Empresa privada (startup),Brasil,São Paulo,www.institutocordial.com.br,Sí,Sí,No,No,1,0,0,0,0,1,1,,0,0,1,
Cazavampiros,1,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,Invernaideas ,Empresa privada (startup),México,Ciudad de México,http://invernaideas.mx/,Sí,Sí,No,No,1,1,0,0,0,1,0,,0,0,1,
Plataforma digital de participación y fiscalización ciudadana de las personas jóvenes rurales de Cartago,1,Iniciativas ya existentes,1,1,1,0,0,1,,Cooperativa Sulá Batsú,Organización civil sin fines de lucro,Costa Rica,San José,www.sulabatsu.com,Sí,Sí,Si,No,1,1,0,0,0,1,1,"Análisis de datos, mediación de la información",1,0,0,
Compras Públicas ,3,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,Organización civil sin fines de lucro,Chile,Santiago,www.observatoriofiscal.cl,Sí,Sí,No,No,0,1,0,1,1,0,1,,0,0,1,
Compras Públicas ,3,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,"Universidad de Chile, Facultad de Ciencias Físicas y Matemáticas, Departamento de Ingeniería Industrial, Centro de Investigación en Inteligencia de Negocios (CEINE)",Universidad,Chile,Santiago ,http://www.ceine.cl ,No,Sí,No,No,1,0,0,0,1,1,0,,0,0,1,
Compras Públicas ,3,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,"Universidad de Santiago de Chile, Facultad de Administración y Economía",Universidad,Chile,Santiago de Chile,http://www.fae.usach.cl/ ,No,No,No,No,0,1,0,1,0,0,1,,0,0,1,
Ligando os pontos,1,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,Eixo Público - Consultoria Júnior,Universidad,Brasil,Limeira,https://www.facebook.com/EIXOPUBLICO/,Sí,No,No,No,0,0,1,0,0,1,1,,0,0,1,
“Promoviendo la transparencia y la participación ambiental en el sector extractivo”,1,Desarrollo de nuevas iniciativas,1,1,0,0,0,0,,"Derecho, Ambiente y Recursos Naturales",Organización civil sin fines de lucro,Perú,Lima,http://www.dar.org.pe/,Sí,Sí,No,No,1,1,0,0,0,0,0,,0,0,1,
Democratización de la información y sostenibilidad de los medios,1,Iniciativas ya existentes,1,0,1,0,0,0,,"FACTUS,S.A.",Empresa privada (no incluye startup),Guatemala,Guatemala,www.factus.net,Sí,Sí,No,No,1,0,0,0,1,0,0,"Recursos Humanos, API, evaluaciòn del desempeño, identidificacion, API, Webapps",1,0,0,
Observatorio Ciudadano de Ecosistemas Urbanos,2,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,,Kodevian Enterprise Software Solutions,Empresa privada (no incluye startup),Perú,Lima,http://kodevianstudio.com,Sí,Sí,No,No,0,0,0,1,1,1,1,"Educación, Programas de Beneficios.",0,0,1,
Observatorio Ciudadano de Ecosistemas Urbanos,2,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,,Centro Peruano para la Resiliencia de Socioecosistemas Urbanos - Centro Urbes,Organización civil sin fines de lucro,Perú,Lima,www.centrourbes.org,No,No,No,No,1,0,0,0,0,0,0,,0,0,1,
Warmi  (Mujer en quechua) - ,1,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,Violencia de género,Impacto Norte SRL,Empresa privada (no incluye startup),Argentina,San Salvador de Jujuy,,Sí,Sí,No,No,1,0,0,0,1,1,0,"Desarrollo de Campañas de Comuniación, Publicidad y Organizacion de Eventos ",0,0,1,
Sistema de Información Territorial PRODEPAZ ,1,Desarrollo de nuevas iniciativas,1,1,0,1,0,1,,Corporación PRODEPAZ,Organización civil sin fines de lucro,Colombia,RIONEGRO,programadesarrolloparalapaz.org ,Sí,No,No,No,1,0,0,0,0,1,0,,0,0,1,
"LA TECNOLOGIA, UN RETO PARA EL AVANCE TÉCNICO Y POLÍTICO DE LAS FUNCIONARIAS MUNICIPALES.",1,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Asociación Colectiva para la Defensa de los Derechos de las Mujeres en Guatemala -CODEFEM-,Organización civil sin fines de lucro,Guatemala,Guatemala,www.codefem.org,Sí,No,No,No,0,0,0,0,0,0,0,La organización realiza monitoreo del presupuesto público nacional a través de los portales informaticos del Ministerio de Finanzas Públicas,0,0,1,
Relevamiento de Asentamientos Informales en Centro América,2,Desarrollo de nuevas iniciativas,1,1,1,1,1,0,,Techo Internacional (oficina central),Organización civil sin fines de lucro,Chile,Santiago ,www.techo.org,Sí,No,Si,No,1,1,0,0,0,1,0,,0,1,0,
Relevamiento de Asentamientos Informales en Centro América,2,Desarrollo de nuevas iniciativas,1,1,1,1,1,0,,"Wingu, Tecnología sin fines de lucro",Organización civil sin fines de lucro,México,México DF,www.winguweb.org,No,Sí,Si,No,1,1,1,1,1,1,1,,0,1,0,
PLP 2.0 - Tecnología social en el enfrentamiento a la violencia contra las mujeres,2,Iniciativas ya existentes,1,0,0,0,1,0,optimización de las políticas públicas,"Themis Gênero, Justiça e Direitos Humanos",Organización civil sin fines de lucro,Brasil,Porto Alegre,www.themis@themis.org.br,Sí,Sí,No,No,1,0,0,0,0,0,0,optimización de las políticas públicas,1,0,0,
PLP 2.0 - Tecnología social en el enfrentamiento a la violencia contra las mujeres,2,Iniciativas ya existentes,1,0,0,0,1,0,,Conceptu Protótipos e Sistemas,Empresa privada (startup),Brasil,Porto Alegre,conceptu.ind.br,No,Sí,Si,Si,1,0,0,0,0,0,0,,1,0,0,
Reconstruyendo confianzas desde la política local  a través de una estrategia de participación ciudadana transparente,3,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Espacio Público,Organización civil sin fines de lucro,Chile,Santiago,www.espaciopublico.cl,Sí,Sí,No,No,1,1,1,0,0,0,1,"Lupa Electoral, monitoreo aplicación nueva legislación de partidos y financiamiento de la política",0,0,1,
